variable,category,n,n_pos,rate_pct,wilson_lo_pct,wilson_hi_pct,lift_vs_base,base_rate_pct
disrict,69,34231,2447,7.1485,6.8803,7.4262,1.2802,5.5841
disrict,63,28987,1891,6.5236,6.2451,6.8137,1.1683,5.5841
disrict,62,40353,2083,5.1619,4.9503,5.3821,0.9244,5.5841
disrict,60,31922,1145,3.5869,3.3884,3.7965,0.6423,5.5841
client_catg,51,1678,283,16.8653,15.1498,18.7321,3.0203,5.5841
client_catg,11,131494,7191,5.4687,5.3471,5.5929,0.9793,5.5841
client_catg,12,2321,92,3.9638,3.2431,4.8366,0.7098,5.5841
region,103,8964,923,10.2967,9.6845,10.943,1.844,5.5841
region,311,12406,998,8.0445,7.5788,8.5362,1.4406,5.5841
region,304,3828,256,6.6876,5.9388,7.5231,1.1976,5.5841
region,107,9998,658,6.5813,6.1118,7.0842,1.1786,5.5841
region,302,4311,266,6.1703,5.4903,6.9283,1.105,5.5841
region,otras,18551,1132,6.1021,5.7666,6.4557,1.0928,5.5841
region,104,12865,720,5.5966,5.2125,6.0072,1.0022,5.5841
region,303,5982,326,5.4497,4.9025,6.054,0.9759,5.5841
region,310,4851,247,5.0917,4.5079,5.7467,0.9118,5.5841
region,312,4379,218,4.9783,4.3727,5.6629,0.8915,5.5841
region,306,6044,294,4.8643,4.3501,5.4359,0.8711,5.5841
region,101,33770,1213,3.5919,3.3987,3.7958,0.6433,5.5841
region,301,9544,315,3.3005,2.9605,3.6781,0.5911,5.5841
counter_type_mix,ELEC+GAZ,61376,4441,7.2357,7.0334,7.4434,1.2958,5.5841
counter_type_mix,ELEC,73439,3119,4.2471,4.1036,4.3953,0.7606,5.5841
counter_type_mix,GAZ,678,6,0.885,0.4062,1.9171,0.1585,5.5841
tarif_type_mode,29,58,10,17.2414,9.6443,28.9083,3.0876,5.5841
tarif_type_mode,14,29,4,13.7931,5.4974,30.559,2.4701,5.5841
tarif_type_mode,15,206,26,12.6214,8.7606,17.8507,2.2603,5.5841
tarif_type_mode,45,159,20,12.5786,8.2923,18.6305,2.2526,5.5841
tarif_type_mode,12,316,30,9.4937,6.7311,13.2293,1.7001,5.5841
tarif_type_mode,40,9018,698,7.7401,7.2064,8.3098,1.3861,5.5841
tarif_type_mode,10,11387,779,6.8411,6.3919,7.3195,1.2251,5.5841
tarif_type_mode,13,181,12,6.6298,3.8329,11.2295,1.1873,5.5841
tarif_type_mode,11,114072,5985,5.2467,5.1188,5.3776,0.9396,5.5841
tarif_type_mode,9,56,2,3.5714,0.9849,12.1188,0.6396,5.5841
tarif_type_mode,21,6,0,0.0,0.0,39.0334,0.0,5.5841
tarif_type_mode,30,4,0,0.0,0.0,48.9891,0.0,5.5841
tarif_type_mode,otras,1,0,0.0,0.0,79.3451,0.0,5.5841
