variable,unit,definition,scope
exp_n_invoices,facturas,número de facturas del cliente en todo el historial,"exploratoria Fase 1, no es variable de modelado"
exp_span_years,años,ventana entre la primera y la última factura,"exploratoria Fase 1, no es variable de modelado"
exp_invoices_per_year,facturas/año,facturas dividido por la ventana,"exploratoria Fase 1, no es variable de modelado"
exp_n_counters,contadores,valores distintos de counter_number en el historial,"exploratoria Fase 1, no es variable de modelado"
exp_n_counter_types,tipos,"1 si solo ELEC o solo GAZ, 2 si ambos","exploratoria Fase 1, no es variable de modelado"
exp_n_tarif_types,tarifas,valores distintos de tarif_type,"exploratoria Fase 1, no es variable de modelado"
exp_n_counter_codes,códigos,valores distintos de counter_code,"exploratoria Fase 1, no es variable de modelado"
exp_cons_total_mean,unidades,consumo total facturado medio por factura,"exploratoria Fase 1, no es variable de modelado"
exp_cons_total_std,unidades,desviación del consumo total entre facturas,"exploratoria Fase 1, no es variable de modelado"
exp_cons_total_median,unidades,mediana del consumo total facturado,"exploratoria Fase 1, no es variable de modelado"
exp_cons_total_max,unidades,consumo total máximo en una factura,"exploratoria Fase 1, no es variable de modelado"
exp_cons_total_cv,adimensional,coeficiente de variación del consumo total,"exploratoria Fase 1, no es variable de modelado"
exp_cons_l1_mean,unidades,consumo medio en el nivel tarifario 1,"exploratoria Fase 1, no es variable de modelado"
exp_cons_l1_std,unidades,desviación del consumo del nivel 1,"exploratoria Fase 1, no es variable de modelado"
exp_cons_l2_mean,unidades,consumo medio en el nivel tarifario 2,"exploratoria Fase 1, no es variable de modelado"
exp_cons_l3_mean,unidades,consumo medio en el nivel tarifario 3,"exploratoria Fase 1, no es variable de modelado"
exp_cons_l4_mean,unidades,consumo medio en el nivel tarifario 4,"exploratoria Fase 1, no es variable de modelado"
exp_index_delta_mean,unidades,media de new_index − old_index por factura,"exploratoria Fase 1, no es variable de modelado"
exp_months_number_mean,meses,"meses cubiertos por factura, excluyendo los valores imposibles","exploratoria Fase 1, no es variable de modelado"
exp_counter_coefficient_max,adimensional,coeficiente de contador máximo observado,"exploratoria Fase 1, no es variable de modelado"
exp_prop_gaz,proporción,fracción de facturas de contador de gas,"exploratoria Fase 1, no es variable de modelado"
exp_rate_statue_nonzero,proporción,fracción de facturas con counter_statue distinto de 0,"exploratoria Fase 1, no es variable de modelado"
exp_rate_zero_consumption,proporción,fracción de facturas con consumo total cero,"exploratoria Fase 1, no es variable de modelado"
exp_rate_above_level_1,proporción,fracción de facturas que superan el nivel tarifario 1,"exploratoria Fase 1, no es variable de modelado"
exp_rate_rr_6,proporción,fracción de facturas con reading_remarque = 6,"exploratoria Fase 1, no es variable de modelado"
exp_rate_rr_7,proporción,fracción de facturas con reading_remarque = 7,"exploratoria Fase 1, no es variable de modelado"
exp_rate_rr_8,proporción,fracción de facturas con reading_remarque = 8,"exploratoria Fase 1, no es variable de modelado"
exp_rate_rr_9,proporción,fracción de facturas con reading_remarque = 9,"exploratoria Fase 1, no es variable de modelado"
exp_median_gap_days,días,mediana del hueco entre facturas dentro de cada counter_type,"exploratoria Fase 1, no es variable de modelado"
exp_max_gap_days,días,hueco máximo entre facturas dentro de cada counter_type,"exploratoria Fase 1, no es variable de modelado"
exp_rate_logical_duplicate,proporción,fracción de facturas marcadas como duplicado lógico,"exploratoria Fase 1, no es variable de modelado"
exp_rate_counter_statue_invalid,proporción,fracción con counter_statue fuera de {0..5},"exploratoria Fase 1, no es variable de modelado"
exp_rate_reading_remarque_invalid,proporción,fracción con reading_remarque fuera de {6..9},"exploratoria Fase 1, no es variable de modelado"
exp_rate_months_number_invalid,proporción,"fracción con months_number fuera de [1, 12]","exploratoria Fase 1, no es variable de modelado"
exp_rate_index_regression,proporción,fracción de facturas con new_index < old_index,"exploratoria Fase 1, no es variable de modelado"
exp_creation_year,año,año de creation_date,"exploratoria Fase 1, no es variable de modelado"
exp_last_invoice_year,año,año de la última factura,"exploratoria Fase 1, no es variable de modelado"
exp_client_age_years,años,última factura menos creation_date,"exploratoria Fase 1, no es variable de modelado"
exp_days_creation_to_first_invoice,días,primera factura menos creation_date,"exploratoria Fase 1, no es variable de modelado"
exp_first_invoice_before_creation,booleana,primera factura anterior al alta,"exploratoria Fase 1, no es variable de modelado"
