variable,mutual_info,null_mean,null_max,excess_over_null,above_null_max,n,n_permutations,sample_size
exp_n_counters,0.019447,0.003363,0.005022,0.016085,True,40000,5,40000
exp_span_years,0.014027,0.000384,0.001053,0.013643,True,40000,5,40000
exp_n_invoices,0.011995,0.000726,0.002006,0.011269,True,40000,5,40000
exp_cons_total_max,0.010111,6.7e-05,0.000334,0.010045,True,40000,5,40000
exp_rate_rr_6,0.010359,0.000482,0.002076,0.009877,True,40000,5,40000
exp_last_invoice_year,0.013297,0.00384,0.004615,0.009456,True,40000,5,40000
exp_cons_total_std,0.009097,0.000244,0.000971,0.008853,True,40000,5,40000
exp_rate_zero_consumption,0.008823,0.000191,0.000656,0.008633,True,40000,5,40000
exp_rate_above_level_1,0.009157,0.000909,0.00184,0.008247,True,40000,5,40000
exp_cons_l3_mean,0.008363,0.000417,0.001471,0.007946,True,40000,5,40000
exp_client_age_years,0.007819,0.000203,0.000867,0.007616,True,40000,5,40000
exp_rate_rr_9,0.008336,0.000817,0.001993,0.007519,True,40000,5,40000
exp_rate_rr_8,0.007933,0.000442,0.001497,0.007491,True,40000,5,40000
exp_n_counter_codes,0.010054,0.002791,0.004797,0.007263,True,40000,5,40000
exp_max_gap_days,0.006977,0.000597,0.00155,0.00638,True,40000,5,40000
exp_index_delta_mean,0.006215,0.000113,0.000564,0.006103,True,40000,5,40000
exp_cons_l2_mean,0.006054,0.000187,0.000935,0.005867,True,40000,5,40000
exp_cons_l4_mean,0.006391,0.000608,0.001929,0.005783,True,40000,5,40000
exp_invoices_per_year,0.006304,0.000545,0.002454,0.005759,True,40000,5,40000
exp_cons_l1_mean,0.005578,1.1e-05,5.3e-05,0.005567,True,40000,5,40000
exp_cons_total_mean,0.005757,0.000222,0.001112,0.005535,True,40000,5,40000
exp_months_number_mean,0.005634,0.000317,0.001381,0.005317,True,40000,5,40000
exp_n_tarif_types,0.007328,0.002802,0.003814,0.004527,True,40000,5,40000
exp_cons_l1_std,0.004763,0.00025,0.001241,0.004514,True,40000,5,40000
exp_cons_total_cv,0.005047,0.000864,0.002265,0.004184,True,40000,5,40000
exp_days_creation_to_first_invoice,0.003957,0.000616,0.001977,0.003342,True,40000,5,40000
exp_creation_year,0.003525,0.000254,0.001119,0.003271,True,40000,5,40000
exp_median_gap_days,0.003292,0.00034,0.000765,0.002952,True,40000,5,40000
exp_prop_gaz,0.003026,0.000938,0.002754,0.002088,True,40000,5,40000
exp_rate_statue_nonzero,0.00192,0.000251,0.000801,0.001669,True,40000,5,40000
exp_n_counter_types,0.007215,0.006039,0.008263,0.001176,False,40000,5,40000
exp_rate_months_number_invalid,0.001484,0.000485,0.001099,0.000999,True,40000,5,40000
exp_rate_reading_remarque_invalid,0.001342,0.000373,0.000947,0.000969,True,40000,5,40000
exp_rate_logical_duplicate,0.000804,0.000738,0.001586,6.6e-05,False,40000,5,40000
exp_counter_coefficient_max,0.009634,0.009587,0.010605,4.7e-05,False,40000,5,40000
exp_rate_counter_statue_invalid,0.000282,0.000257,0.000988,2.5e-05,False,40000,5,40000
exp_cons_total_median,0.0,0.000164,0.000647,-0.000164,False,40000,5,40000
exp_rate_rr_7,0.0,0.000296,0.000918,-0.000296,False,40000,5,40000
exp_rate_index_regression,0.000363,0.001002,0.001959,-0.000638,False,40000,5,40000
