variable,n,n_pos,n_neg,median_neg,median_pos,mean_neg,mean_pos,rank_biserial,ci95_lo,ci95_hi,abs_effect,above_threshold,mannwhitney_u,p_value,n_bootstrap
exp_n_counters,135493,7566,127927,2.0,2.0,1.6625184675635323,2.322363203806503,0.41476,0.40367,0.4246,0.41476,True,684669596.5,0.0,400
exp_n_invoices,135493,7566,127927,29.0,41.0,32.234235149733834,46.6704996034893,0.32462,0.31493,0.33457,0.32462,True,641047143.0,0.0,400
exp_cons_total_max,135493,7566,127927,1280.0,2016.0,2259.925160443065,3557.496960084589,0.32268,0.311,0.33402,0.32268,True,640107767.0,0.0,400
exp_span_years,135493,7566,127927,8.988364134154688,12.941820670773442,8.120104645366734,10.933879600786181,0.30673,0.29594,0.318,0.30673,True,632389760.0,0.0,400
exp_cons_l2_mean,135493,7566,127927,3.808219178082192,32.40079365079365,113.56983751107994,145.18320444258347,0.26803,0.2567,0.28025,0.26803,True,613660072.0,0.0,400
exp_cons_total_std,131281,7528,123753,320.05462424404993,452.54251955469397,560.6424808152035,798.6668609175508,0.26462,0.25209,0.27722,0.26462,True,589067732.5,0.0,400
exp_n_counter_codes,135493,7566,127927,1.0,2.0,1.5203358165203593,1.8686227861485594,0.26364,0.25245,0.27509,0.26364,True,611534467.0,0.0,400
exp_client_age_years,135493,7566,127927,10.973305954825461,17.207392197125255,14.069438440162768,18.807925799394713,0.25987,0.24692,0.27182,0.25987,True,609709776.0,0.0,400
exp_cons_l3_mean,135493,7566,127927,0.0,1.260428626100268,26.44768380966092,47.6981705934886,0.25539,0.24425,0.26734,0.25539,True,607545388.0,0.0,400
exp_rate_above_level_1,135493,7566,127927,0.02857142857142857,0.1111111111111111,0.15182915653563867,0.21285951684801951,0.24228,0.23168,0.25335,0.24228,True,601197865.0,1.5659088206861956e-299,400
exp_rate_rr_8,135493,7566,127927,0.14285714285714285,0.19444444444444445,0.15961391521677196,0.2017777687542334,0.21114,0.20067,0.22158,0.21114,True,586129137.0,3.1963403143726116e-215,400
exp_cons_l1_std,131281,7528,123753,276.88269929099334,331.5269095143401,329.9676326650197,399.7354080202956,0.2013,0.19023,0.21334,0.2013,True,559572438.0,1.2883513140962168e-189,400
exp_max_gap_days,130422,7519,122903,362.0,368.0,399.20802584151727,456.2917941215587,0.19226,0.18155,0.20494,0.19226,True,550886330.0,6.712333598642107e-173,400
exp_cons_l4_mean,135493,7566,127927,0.0,0.0,70.11216851210551,123.5909177763626,0.1804,0.16992,0.19093,0.1804,True,571252243.5,0.0,400
exp_n_tarif_types,135493,7566,127927,1.0,2.0,1.5007856042899466,1.7064499074808352,0.1748,0.16496,0.18725,0.1748,True,568541975.0,2.2023761750478408e-187,400
exp_cons_total_cv,128945,7514,121431,0.8859333064941048,1.003836769468436,0.9831624073870847,1.0840712921787117,0.16983,0.15863,0.18077,0.16983,True,533693799.0,3.637226723072416e-135,400
exp_cons_total_mean,135493,7566,127927,392.8666666666667,465.83619374523266,641.4160349034069,767.1095614053725,0.15897,0.14731,0.17255,0.15897,True,560879907.0,8.585364698986873e-120,400
exp_creation_year,135493,7566,127927,2005.0,2002.0,2002.3300788731074,1999.7060533967751,-0.1473,-0.15942,-0.13361,0.1473,True,412660728.5,3.178339948249174e-103,400
exp_last_invoice_year,135493,7566,127927,2019.0,2019.0,2016.4712062348058,2018.5933121860958,0.14513,0.13728,0.15196,0.14513,True,554182831.0,1.257415064279622e-153,400
exp_n_counter_types,135493,7566,127927,1.0,2.0,1.4450585099314452,1.5869680148030663,0.14191,0.13179,0.15334,0.14191,True,552624639.5,2.830029312042333e-128,400
exp_index_delta_mean,135493,7566,127927,385.7647058823529,446.800744109136,619.3883228103726,724.4900772472947,0.1379,0.12519,0.15116,0.1379,True,550685324.0,1.2519841993081058e-90,400
exp_days_creation_to_first_invoice,135493,7566,127927,325.0,1421.0,2172.994168549251,2875.995374041766,0.13664,0.12235,0.15028,0.13664,True,550076240.0,5.140001893921628e-89,400
exp_prop_gaz,135493,7566,127927,0.0,0.36507936507936506,0.20908524964852906,0.26561901444574076,0.12414,0.11172,0.13613,0.12414,True,544027516.5,5.970197244835054e-88,400
exp_rate_statue_nonzero,135493,7566,127927,0.0,0.0,0.03453381088193744,0.02804339707306302,0.10065,0.08992,0.11243,0.10065,True,532656036.0,3.765606440099251e-70,400
exp_rate_zero_consumption,135493,7566,127927,0.017241379310344827,0.038461538461538464,0.12824873993455832,0.1067547603385798,0.09596,0.08557,0.1079,0.09596,False,530389055.5,1.311289388453915e-49,400
exp_cons_l1_mean,135493,7566,127927,354.1666666666667,378.17995689655174,431.28634507056057,450.63726859293774,0.09203,0.08096,0.10375,0.09203,False,528487537.5,2.2522054435084697e-41,400
exp_rate_rr_6,135493,7566,127927,0.5,0.4744676227727075,0.482458028701495,0.4437639073666483,-0.0734,-0.0847,-0.06223,0.0734,False,448423911.5,5.3671475824493984e-27,400
exp_rate_rr_9,135493,7566,127927,0.2777777777777778,0.3,0.35604301746313366,0.35445484571503244,0.06414,0.05241,0.07579,0.06414,False,514988433.0,5.191525471547831e-21,400
