variable,exp_cons_total_mean,exp_cons_total_std,exp_cons_total_median,exp_cons_total_max,exp_cons_l1_mean,exp_cons_l1_std,exp_cons_l2_mean,exp_cons_l3_mean,exp_cons_l4_mean,exp_index_delta_mean,exp_months_number_mean,exp_counter_coefficient_max,exp_prop_gaz,exp_rate_statue_nonzero,exp_rate_zero_consumption,exp_rate_above_level_1,exp_rate_rr_6,exp_rate_rr_7,exp_rate_rr_8,exp_rate_rr_9,exp_rate_logical_duplicate,exp_rate_counter_statue_invalid,exp_rate_reading_remarque_invalid,exp_rate_months_number_invalid,exp_rate_index_regression,exp_cons_total_cv,exp_n_counters,exp_n_tarif_types,exp_n_counter_codes,exp_n_invoices,exp_span_years,exp_n_counter_types,exp_median_gap_days,exp_max_gap_days,exp_invoices_per_year,exp_creation_year,exp_client_age_years,exp_days_creation_to_first_invoice,exp_last_invoice_year
exp_cons_total_mean,1.0,0.810364930814773,0.8819492170947645,0.8140475420356204,0.9358196119261397,0.6988057167912786,0.6999233166195759,0.5598326473636329,0.4542567761442144,0.9538967520130669,0.108046867265031,0.020892062950524152,-0.0945065062820753,-0.004880473267595579,-0.36849382294373484,0.6857198560294376,-0.2723492297382596,-0.022002044207097764,0.08966462012750141,0.2803982107029047,0.053704570762308154,-0.0025488587120650165,-0.0028888632505110665,0.057824507763466024,0.14246140559303339,-0.2788649442151561,-0.04639694913792107,-0.08607749493392693,-0.04867113073024205,0.0685626600815651,0.131263067844275,-0.08762622098558998,0.030322842132957058,0.14286979198872143,-0.16342553665247714,-0.05245938045157798,0.11885007253148427,0.05977918474133359,0.0627413225125909
exp_cons_total_std,0.810364930814773,1.0,0.552941382306513,0.9446664462904546,0.7118277147661017,0.8895753982702864,0.7318866625644083,0.6270937070932192,0.5108081028655299,0.7640978232796943,0.13342844539433366,0.022530604193027305,0.14261129363900685,0.09479974028921082,-0.05600610873075772,0.6785335446580741,-0.2622281462044092,-0.034953591745469074,0.20140061926174666,0.23656784980380857,0.08972161816519708,0.0009333195735224005,-0.00013893166652636572,0.1505380422514298,0.1456598379101535,0.2508707986101986,0.19335633009874476,0.16048595341217228,0.1900483735074235,0.18069457163816702,0.15860356063508843,0.1488285209921485,0.0597029440632002,0.27240890355582864,-0.028212036850673892,-0.01757816793821198,0.1113184354737066,0.015540451529808246,0.09764493558761171
exp_cons_total_median,0.8819492170947645,0.552941382306513,1.0,0.581573104836557,0.8750565007783602,0.46889861605584604,0.5348666361655279,0.4053848310488957,0.3241635916213324,0.8448439121516834,0.06643665962381648,0.019781398006886986,-0.20023967266172282,-0.046869925488623565,-0.494053621088907,0.552129908685275,-0.25165122694749004,-0.010223735127804678,0.028092633037192755,0.2662788123818439,0.0029737623020778367,-0.003859928136495188,-0.0030922356627015655,-0.014187050299401625,0.11255191170721285,-0.5546746683382985,-0.1494134733407083,-0.19076619919833107,-0.15161521242028772,0.01670815260210098,0.10939157610787163,-0.17620338868125593,0.005614941364741332,0.050881646424605714,-0.1935459924947158,-0.06942693621773285,0.11103562778541554,0.07860956602514632,0.045249939815194505
exp_cons_total_max,0.8140475420356204,0.9446664462904546,0.581573104836557,1.0,0.7247233549576004,0.8261608490990314,0.7431178594312934,0.6312672027742005,0.5128074621187255,0.7678795208907792,0.14991558365834773,0.02073926391602227,0.17758501047173114,0.10592908357717234,-0.11160527542905739,0.6867609405905808,-0.23154997830913784,-0.05393949434677142,0.2718306314725777,0.2248485599889628,0.0928365731979164,-0.0011901444110894164,-0.0022080493459145337,0.1419596398352692,0.14881538255653745,0.17828135119228325,0.24702731963412106,0.20845371495572115,0.23785348413825658,0.36041512961339484,0.3444543876393822,0.19904281763247597,0.013880390842092104,0.3135146193085591,-0.01857805467882997,-0.12199397952859109,0.27094244452197636,0.08671358437896047,0.19955851725589693
exp_cons_l1_mean,0.9358196119261397,0.7118277147661017,0.8750565007783602,0.7247233549576004,1.0,0.7143938066857309,0.5282413911256767,0.4375537144076032,0.30986085545475217,0.8968532967825493,0.16957295943444467,0.007154396266095698,-0.08571774879255549,-0.02208825826588475,-0.40986168706967835,0.5210672304432244,-0.263624509425166,-0.020553223592971646,0.10595883325937133,0.2637308846967355,0.0439800119908535,-0.006365079792245454,-0.005874861783390818,0.06488307664702146,0.11765309222093856,-0.3604595423716261,-0.05470612575455634,-0.08200726557188805,-0.05302743685646545,0.07091739810445001,0.15407793659705943,-0.07948488153944354,0.07176519443320714,0.1513413413070088,-0.19759019987032073,-0.061459298522620553,0.1317620555809169,0.07150598202731033,0.07833300665428931
exp_cons_l1_std,0.6988057167912786,0.8895753982702864,0.46889861605584604,0.8261608490990314,0.7143938066857309,1.0,0.5149925514591756,0.423588617842375,0.2893549029697178,0.6638580463556849,0.24571956773208503,0.005818639676646185,0.21303412761237667,0.09677969120440248,-0.02279933533222027,0.47115511164256274,-0.2102755250575894,-0.030623907740119843,0.24312479970254133,0.17429861379599296,0.09144669989517686,-0.004507344966363732,-0.005167072764761034,0.20323991094938812,0.1095100896876751,0.25330725910709695,0.2484772728118832,0.23519281868051564,0.2504052782637666,0.21276000529528707,0.2049011621519419,0.22214087272327063,0.13170902712575602,0.33238616699266577,-0.04292021875319368,-0.07068484208476367,0.1638142437761576,0.062428767222301874,0.10105414435683092
exp_cons_l2_mean,0.6999233166195759,0.7318866625644083,0.5348666361655279,0.7431178594312934,0.5282413911256767,0.5149925514591756,1.0,0.674703083247186,0.4918435676003596,0.6543689618290713,-0.005988656181695371,0.015337998531460693,0.046485009866379864,0.08281194876559031,-0.11051076570983676,0.9783394441975696,-0.22871308002187435,-0.04217195602123398,0.13718032747003048,0.24413292253363286,0.04008345878552582,0.005127750292018446,0.0038956032337635646,0.011897749438033445,0.1495823768531169,0.032952079978794124,0.1200134791348026,0.06428715556705475,0.10465957573893273,0.20636298775842332,0.20115484949765677,0.06655377134979822,-0.036081566389962405,0.14175045810595757,-0.029339243841842146,-0.04767722769929597,0.1579468033638105,0.037907385842382624,0.1441810485606272
exp_cons_l3_mean,0.5598326473636329,0.6270937070932192,0.4053848310488957,0.6312672027742005,0.4375537144076032,0.423588617842375,0.674703083247186,1.0,0.7117327565287923,0.5202892449735363,-0.03565595670317955,0.00959456587977274,0.08200227181582147,0.05819442968348021,-0.04954599160674779,0.6429802119339043,-0.3017062513228484,-0.036939859476122786,0.1052295033300653,0.30586022608944274,0.037767502229747944,-0.0011319373448935546,-0.0004772504747702156,-0.011421055461029924,0.13138220492908934,0.09521679131238812,0.12381043562586368,0.08041752824207103,0.12486516470650719,0.17472049451963656,0.12913129518288588,0.08938902964889921,-0.041735652647417604,0.09998917391433751,0.029585011994336902,0.09801807858291899,0.02893517848184042,-0.08102489922968796,0.21235073023053572
exp_cons_l4_mean,0.4542567761442144,0.5108081028655299,0.3241635916213324,0.5128074621187255,0.30986085545475217,0.2893549029697178,0.4918435676003596,0.7117327565287923,1.0,0.4097872327787439,-0.06690306709050202,0.019742463895966938,0.029137509743002957,0.04384284122289176,-0.021089850318907564,0.4680145872680115,-0.22528855194614927,-0.023421409675170774,0.06337657358957362,0.22325608653063608,0.04558260929515894,0.0009877163823015422,0.0015602648674867515,-0.00442626200468949,0.15289784544550858,0.10853978213018949,0.06950609397820927,0.027198507885847795,0.07283682269832406,0.09259253978111667,0.050107827078946524,0.029041004620839198,-0.06009421241517123,0.07081749337210275,0.027204145946209266,0.09475471510730511,-0.016951397760397894,-0.08639570858362842,0.11394357637382342
exp_index_delta_mean,0.9538967520130669,0.7640978232796943,0.8448439121516834,0.7678795208907792,0.8968532967825493,0.6638580463556849,0.6543689618290713,0.5202892449735363,0.4097872327787439,1.0,0.10542734974706386,0.0061687986393470645,-0.09970388528795764,-0.001429708502368815,-0.36281929917702743,0.6447353975949949,-0.27334833599982933,-0.0200428663952206,0.08239529520487984,0.2801470325840236,0.05044248749125927,0.0024280982735559926,0.003283791308844662,0.05152951659052692,-0.1267060788722732,-0.27815010081553465,-0.051829378523744175,-0.09376923401149309,-0.058377219174537746,0.05296990683028847,0.11532190874230742,-0.0916426583196359,0.032518641888376824,0.12680643675938022,-0.16387645609221246,-0.030442511941106823,0.09475627870192607,0.038218586042848154,0.06331408862050918
