region_g,disrict,rate_pct,n
101,60,3.587092731829574,31920
103,60,,0
104,60,,0
107,60,,0
301,60,,0
302,60,,0
303,60,,0
304,60,,0
306,60,,0
310,60,,0
311,60,,0
312,60,,0
otras,60,,2
101,62,,0
103,62,,0
104,62,,0
107,62,,0
301,62,3.3005029337803853,9544
302,62,6.1702621201577355,4311
303,62,5.449682380474758,5982
304,62,6.687565308254964,3828
306,62,,0
310,62,5.091733663162234,4851
311,62,,0
312,62,,0
otras,62,5.685562220157134,11837
101,63,3.6756756756756754,1850
103,63,,0
104,63,,0
107,63,,0
301,63,,0
302,63,,0
303,63,,0
304,63,,0
306,63,4.864328259430841,6044
310,63,,0
311,63,8.044494599387393,12406
312,63,4.978305549212149,4379
otras,63,7.265552460538532,4308
101,69,,0
103,69,10.296742525658189,8964
104,69,5.596579867858531,12865
107,69,6.581316263252651,9998
301,69,,0
302,69,,0
303,69,,0
304,69,,0
306,69,,0
310,69,,0
311,69,,0
312,69,,0
otras,69,6.0732113144758735,2404
