table,column,dtype,n_missing,pct_missing,n_unique,min,p01,p25,median,p75,p99,max,mean,std,top_value,top_value_freq
invoice_train,client_id,string,0,0.0,135493,,,,,,,,,,train_Client_116878,439.0
invoice_train,invoice_date,datetime64[ns],0,0.0,8275,1977-06-09 00:00:00,,,,,,2019-12-07 00:00:00,,,,
invoice_train,tarif_type,int64,0,0.0,17,8.0,10.0,11.0,11.0,40.0,40.0,45.0,20.128039342835617,13.472556245671395,,
invoice_train,counter_number,int64,0,0.0,201893,0.0,54.0,121108.0,494561.0,1115161.0,2165704314500.0,27981145458733.0,123058699065.18332,1657267274263.2822,,
invoice_train,counter_statue,string,0,0.0,12,,,,,,,,,,0,4379008.0
invoice_train,counter_code,int64,0,0.0,42,0.0,5.0,5.0,203.0,207.0,433.0,600.0,172.4884301085453,133.88709958634882,,
invoice_train,reading_remarque,int64,0,0.0,8,5.0,6.0,6.0,8.0,9.0,9.0,413.0,7.321701752767466,1.5716539688176392,,
invoice_train,counter_coefficient,int64,0,0.0,16,0.0,1.0,1.0,1.0,1.0,1.0,50.0,1.0030401525750048,0.3083466190608734,,
invoice_train,consommation_level_1,int64,0,0.0,8295,0.0,0.0,79.0,274.0,600.0,2192.0,999910.0,410.9794953882829,757.307998217811,,
invoice_train,consommation_level_2,int64,0,0.0,12576,0.0,0.0,0.0,0.0,0.0,2069.0,999073.0,109.32247642206431,1220.123335523172,,
invoice_train,consommation_level_3,int64,0,0.0,2253,0.0,0.0,0.0,0.0,0.0,800.0,64492.0,20.30620389930282,157.42393805845387,,
invoice_train,consommation_level_4,int64,0,0.0,12075,0.0,0.0,0.0,0.0,0.0,1222.0,547946.0,52.92588125892249,875.4724773781409,,
invoice_train,old_index,int64,0,0.0,155648,0.0,0.0,1791.0,7690.0,21660.0,150959.11999999732,2800280.0,17766.998257440835,40366.92561104751,,
invoice_train,new_index,int64,0,0.0,157980,0.0,0.0,2056.0,8192.0,22343.0,155668.0399999991,2870972.0,18349.704624717626,40953.20625237223,,
invoice_train,months_number,int64,0,0.0,1370,0.0,1.0,4.0,4.0,4.0,12.0,636624.0,44.83094651944972,3128.335385286694,,
invoice_train,counter_type,string,0,0.0,2,,,,,,,,,,ELEC,3079406.0
