table,column,n,n_zero,pct_zero,n_negative,min,max,mean,std,skew,kurtosis,iqr,iqr_upper_fence,n_outliers_high_iqr,pct_outliers_high_iqr,n_outliers_low_iqr,p01,p05,p25,p50,p75,p95,p99
invoice_train,n_invoices,135493,0,0.0,0,1.0,439.0,33.040363708826284,26.09208934533761,1.2068746594261825,4.668037039265691,40.0,110.0,915,0.6753,0,1.0,2.0,10.0,30.0,50.0,78.0,98.0
invoice_train,span_years,135493,5247,3.8725,0,0.0,14.899383983572895,8.277227310838041,5.059755848411454,-0.3116872885639386,-1.45899327812766,9.982203969883642,28.290212183436005,0,0.0,0,0.0,0.26283367556468173,3.3347022587268995,9.305954825462011,13.316906228610542,14.036960985626283,14.453114305270363
invoice_train,n_streams,135493,0,0.0,0,1.0,2.0,1.4529828109201213,0.49778631232974935,0.18890789859835427,-1.9643428015526558,1.0,3.5,0,0.0,0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
invoice_train,median_gap_days,131281,28417,21.6459,0,0.0,3518.0,85.85850580053473,92.92896988956107,6.61838355569834,125.5462448566783,118.0,299.0,2366,1.8022,0,0.0,0.0,4.0,106.0,122.0,204.0,366.0
invoice_train,max_gap_days,131281,1035,0.7884,0,0.0,3796.0,389.753414431639,251.9341178209374,3.3626905909051654,19.90933717970311,173.0,685.5,10874,8.283,0,28.0,125.0,253.0,357.0,426.0,843.0,1446.3999999999942
invoice_train,median_gap_days_within_stream,130422,2130,1.6332,0,0.0,3518.0,130.64442732054408,80.85421036755376,10.903165223516732,242.68823292639107,6.0,134.0,21894,16.787,20940,0.0,57.0,119.0,121.0,125.0,239.0,397.0
invoice_train,max_gap_days_within_stream,130422,188,0.1441,0,0.0,4208.0,402.4989802333962,263.60633404522395,3.38285203933645,19.587683724709922,194.0,741.0,9142,7.0096,0,62.0,126.0,256.0,364.0,450.0,855.0,1484.7899999999936
invoice_train,invoices_per_year,130246,0,0.0,0,0.20764638999431495,730.5,4.47048521361935,8.297212134063402,47.327045853558076,3134.238379251397,2.6353179056009433,9.347796882616192,3463,2.6588,0,1.1008469224675974,1.8158272171424463,2.7595021186138347,3.6745472837022133,5.394820024214778,7.50513698630137,14.976930441684653
invoice_test,n_invoices,58069,0,0.0,0,1.0,412.0,33.403743822004856,26.6260240067279,1.393161681897218,6.57074054907976,39.0,108.5,489,0.8421,0,1.0,2.0,11.0,30.0,50.0,78.0,103.0
invoice_test,span_years,58069,2174,3.7438,0,0.0,14.899383983572895,8.333332779341585,5.050584420018072,-0.32938287190870974,-1.4450599429591646,9.930184804928132,28.223134839151268,0,0.0,0,0.0,0.30937713894592744,3.3976728268309375,9.333333333333334,13.32785763175907,14.039698836413416,14.453114305270363
invoice_test,n_streams,58069,0,0.0,0,1.0,2.0,1.4535466427870292,0.49784169546071966,0.1866254177912271,-1.9652386409468472,1.0,3.5,0,0.0,0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
invoice_test,median_gap_days,56309,12226,21.7123,0,0.0,3633.0,85.94683798327088,95.64658270204306,7.42502899055747,150.6925451875198,118.0,299.0,988,1.7546,0,0.0,0.0,4.0,107.0,122.0,197.5,367.0
invoice_test,max_gap_days,56309,414,0.7352,0,0.0,4052.0,390.05411213127564,252.20420700773417,3.3864495858597445,20.230755824998095,173.0,685.5,4640,8.2402,0,30.0,125.0,253.0,358.0,426.0,845.0,1455.0
invoice_test,median_gap_days_within_stream,55967,933,1.6671,0,0.0,3633.0,130.67995425875964,83.27654893948718,11.130163738501567,253.66128704029967,6.0,134.0,9266,16.5562,8989,0.0,57.0,119.0,121.5,125.0,238.0,401.0
invoice_test,max_gap_days_within_stream,55967,77,0.1376,0,0.0,4052.0,402.1129058195008,263.7534520961208,3.441052510124524,20.393466986822727,189.0,730.5,4243,7.5813,0,62.0,126.0,258.0,364.0,447.0,854.0,1491.0
invoice_test,invoices_per_year,55895,0,0.0,0,0.20107349298100743,730.5,4.49964748982408,8.277513375181092,40.38756135711303,2282.113167167677,2.635220027941724,9.350613293144113,1550,2.7731,0,1.0720386543652876,1.8279865979407266,2.7625632232898027,3.6694358578052553,5.397783251231527,7.570602083578865,15.542553191489361
