table,month,n_invoices,pct
invoice_train,1,378295,8.492183182157156
invoice_train,2,415718,9.332276155169929
invoice_train,3,400182,8.983515114400177
invoice_train,4,407429,9.14619992789518
invoice_train,5,416513,9.350122771249483
invoice_train,6,365113,8.19626608384183
invoice_train,7,353159,7.927915834011654
invoice_train,8,350943,7.8781697947257525
invoice_train,9,334616,7.511651932171185
invoice_train,10,346343,7.774906355774873
invoice_train,11,358029,8.037240387857477
invoice_train,12,328286,7.369552460745302
invoice_test,1,162057,8.395148067852453
invoice_test,2,182568,9.4576932341811
invoice_test,3,174284,9.028551595164645
invoice_test,4,180217,9.335902795585291
invoice_test,5,179834,9.316061988276829
invoice_test,6,157602,8.164362698246187
invoice_test,7,151299,7.837844138284728
invoice_test,8,153227,7.93772162259469
invoice_test,9,143555,7.436676483462972
invoice_test,10,149731,7.756615976771233
invoice_test,11,153929,7.9740878020478
invoice_test,12,142062,7.359333597532073
