table,flag,n_rows,n_flagged,pct_flagged,wilson_lo_pct,wilson_hi_pct,n_clients_affected
invoice_train,logical_duplicate,4476738,29278,0.654,0.6466,0.6615,2191
invoice_train,counter_statue_invalid,4476738,47,0.001,0.0008,0.0014,6
invoice_train,reading_remarque_invalid,4476738,34,0.0008,0.0005,0.0011,5
invoice_train,months_number_invalid,4476738,24043,0.5371,0.5303,0.5439,14944
invoice_train,index_regression,4476738,2264,0.0506,0.0485,0.0527,1816
invoice_test,logical_duplicate,1939722,14136,0.7288,0.7169,0.7408,964
invoice_test,counter_statue_invalid,1939722,0,0.0,0.0,0.0002,0
invoice_test,reading_remarque_invalid,1939722,0,0.0,0.0,0.0002,0
invoice_test,months_number_invalid,1939722,10401,0.5362,0.526,0.5466,6296
invoice_test,index_regression,1939722,1054,0.0543,0.0512,0.0577,811
