table,column,n_unique_original,rare_grouped,value,n,pct
client_train,disrict,4,False,62,40353,29.7824
client_train,disrict,4,False,69,34231,25.264
client_train,disrict,4,False,60,31922,23.5599
client_train,disrict,4,False,63,28987,21.3937
client_train,client_catg,3,False,11,131494,97.0486
client_train,client_catg,3,False,12,2321,1.713
client_train,client_catg,3,False,51,1678,1.2384
client_train,region,25,True,101,33770,24.9238
client_train,region,25,True,otras,18551,13.6915
client_train,region,25,True,104,12865,9.495
client_train,region,25,True,311,12406,9.1562
client_train,region,25,True,107,9998,7.379
client_train,region,25,True,301,9544,7.0439
client_train,region,25,True,103,8964,6.6158
client_train,region,25,True,306,6044,4.4607
client_train,region,25,True,303,5982,4.415
client_train,region,25,True,310,4851,3.5803
client_train,region,25,True,312,4379,3.2319
client_train,region,25,True,302,4311,3.1817
client_train,region,25,True,304,3828,2.8252
client_test,disrict,4,False,62,17389,29.9454
client_test,disrict,4,False,69,14688,25.294
client_test,disrict,4,False,60,13696,23.5857
client_test,disrict,4,False,63,12296,21.1748
client_test,client_catg,3,False,11,56305,96.9622
client_test,client_catg,3,False,12,1054,1.8151
client_test,client_catg,3,False,51,710,1.2227
client_test,region,24,True,101,14480,24.9359
client_test,region,24,True,otras,8006,13.787
client_test,region,24,True,104,5558,9.5714
client_test,region,24,True,311,5265,9.0668
client_test,region,24,True,107,4257,7.3309
client_test,region,24,True,301,4181,7.2001
client_test,region,24,True,103,3848,6.6266
client_test,region,24,True,303,2615,4.5033
client_test,region,24,True,306,2596,4.4705
client_test,region,24,True,310,1973,3.3977
client_test,region,24,True,312,1840,3.1686
client_test,region,24,True,302,1781,3.067
client_test,region,24,True,304,1669,2.8742
invoice_train,tarif_type,17,True,11,2679864,59.862
invoice_train,tarif_type,17,True,40,1379752,30.8205
invoice_train,tarif_type,17,True,10,276210,6.1699
invoice_train,tarif_type,17,True,15,72422,1.6177
invoice_train,tarif_type,17,True,45,17552,0.3921
invoice_train,tarif_type,17,True,13,11656,0.2604
invoice_train,tarif_type,17,True,14,11611,0.2594
invoice_train,tarif_type,17,True,12,11345,0.2534
invoice_train,tarif_type,17,True,29,10090,0.2254
invoice_train,tarif_type,17,True,9,6039,0.1349
invoice_train,tarif_type,17,True,21,104,0.0023
invoice_train,tarif_type,17,True,otras,50,0.0011
invoice_train,tarif_type,17,True,8,43,0.001
invoice_train,counter_statue,12,False,0,4379008,97.8169
