variable,category,n,n_pos,rate_pct,wilson_lo_pct,wilson_hi_pct,lift_vs_base,base_rate_pct
disrict,69,34231,2447,7.1485,6.8803,7.4262,1.2802,5.5841
disrict,63,28987,1891,6.5236,6.2451,6.8137,1.1683,5.5841
disrict,62,40353,2083,5.1619,4.9503,5.3821,0.9244,5.5841
disrict,60,31922,1145,3.5869,3.3884,3.7965,0.6423,5.5841
client_catg,51,1678,283,16.8653,15.1498,18.7321,3.0203,5.5841
client_catg,11,131494,7191,5.4687,5.3471,5.5929,0.9793,5.5841
client_catg,12,2321,92,3.9638,3.2431,4.8366,0.7098,5.5841
region,103,8964,923,10.2967,9.6845,10.943,1.844,5.5841
region,372,644,65,10.0932,7.9981,12.6615,1.8075,5.5841
region,311,12406,998,8.0445,7.5788,8.5362,1.4406,5.5841
region,106,706,53,7.5071,5.785,9.6891,1.3444,5.5841
region,308,841,61,7.2533,5.6879,9.2074,1.2989,5.5841
region,371,2065,148,7.1671,6.1323,8.3609,1.2835,5.5841
region,313,2076,147,7.0809,6.055,8.2654,1.2681,5.5841
region,379,583,39,6.6895,4.9319,9.0142,1.198,5.5841
region,304,3828,256,6.6876,5.9388,7.5231,1.1976,5.5841
region,107,9998,658,6.5813,6.1118,7.0842,1.1786,5.5841
region,307,3376,210,6.2204,5.4544,7.0859,1.114,5.5841
region,302,4311,266,6.1703,5.4903,6.9283,1.105,5.5841
region,305,2716,157,5.7806,4.9637,6.7223,1.0352,5.5841
region,104,12865,720,5.5966,5.2125,6.0072,1.0022,5.5841
region,105,1645,92,5.5927,4.5822,6.8101,1.0015,5.5841
region,303,5982,326,5.4497,4.9025,6.054,0.9759,5.5841
region,310,4851,247,5.0917,4.5079,5.7467,0.9118,5.5841
region,312,4379,218,4.9783,4.3727,5.6629,0.8915,5.5841
region,306,6044,294,4.8643,4.3501,5.4359,0.8711,5.5841
region,309,3669,158,4.3064,3.6959,5.0124,0.7712,5.5841
region,101,33770,1213,3.5919,3.3987,3.7958,0.6433,5.5841
region,301,9544,315,3.3005,2.9605,3.6781,0.5911,5.5841
region,206,53,1,1.8868,0.3338,9.9429,0.3379,5.5841
region,399,175,1,0.5714,0.1009,3.1653,0.1023,5.5841
region,199,2,0,0.0,0.0,65.762,0.0,5.5841
