variable,mutual_info,null_mean,null_max,excess_over_null,above_null_max,n,n_permutations
exp_n_counters,0.020698,0.003,0.004659,0.017698,True,40000,3
exp_span_days,0.015419,0.000759,0.001753,0.01466,True,40000,3
exp_counters_por_factura,0.015084,0.000967,0.001615,0.014117,True,40000,3
exp_cons_total_max,0.011824,7.3e-05,0.00022,0.011751,True,40000,3
exp_days_since_last,0.012662,0.001335,0.001716,0.011327,True,40000,3
exp_n_invoices,0.011251,0.000676,0.002029,0.010575,True,40000,3
exp_new_index_max,0.010121,6.5e-05,0.000196,0.010056,True,40000,3
exp_cons_total_std,0.009097,0.000167,0.000502,0.00893,True,40000,3
exp_cons3_mean,0.009195,0.000289,0.000867,0.008906,True,40000,3
exp_n_counter_codes,0.010998,0.002811,0.00314,0.008187,True,40000,3
exp_gap_max_days,0.008051,0.00065,0.001951,0.0074,True,40000,3
exp_antiguedad_dias,0.0079,0.000965,0.001674,0.006935,True,40000,3
exp_share_cons_cero,0.007621,0.001206,0.001515,0.006415,True,40000,3
exp_cons_total_mean,0.005595,0.0,0.0,0.005595,True,40000,3
exp_invoices_per_year,0.005872,0.000597,0.000981,0.005276,True,40000,3
exp_cons4_mean,0.005385,0.000131,0.000393,0.005254,True,40000,3
exp_cv_cons,0.005119,0.000122,0.000366,0.004997,True,40000,3
exp_cons2_mean,0.004764,0.000147,0.000238,0.004617,True,40000,3
exp_months_number_mean,0.005825,0.001261,0.002539,0.004564,True,40000,3
exp_n_tarif_types,0.007337,0.002919,0.003283,0.004418,True,40000,3
exp_gap_median_days,0.005346,0.001069,0.001558,0.004277,True,40000,3
exp_n_counter_types,0.009244,0.005776,0.005959,0.003468,True,40000,3
exp_share_statue_nonzero,0.00247,0.00044,0.001043,0.00203,True,40000,3
exp_creation_year,0.002849,0.000884,0.001229,0.001965,True,40000,3
exp_share_reading_remarque_invalid,0.00115,0.0,0.0,0.00115,True,40000,3
exp_share_index_regression,0.000488,8.8e-05,0.000265,0.0004,True,40000,3
exp_cons_total_median,0.001153,0.000932,0.001336,0.000221,False,40000,3
exp_cons1_median,0.000601,0.000391,0.000788,0.000211,False,40000,3
exp_share_months_number_invalid,0.000985,0.000903,0.001692,8.1e-05,False,40000,3
exp_delta_index_median,0.001149,0.001147,0.001753,2e-06,False,40000,3
exp_share_logical_duplicate,0.0,0.000476,0.000675,-0.000476,False,40000,3
exp_share_counter_statue_invalid,0.0,0.000546,0.001501,-0.000546,False,40000,3
exp_share_coef_gt1,0.000248,0.000797,0.00201,-0.000549,False,40000,3
exp_share_levels_mismatch,0.0,0.000605,0.001152,-0.000605,False,40000,3
