variable,n,n_pos,n_neg,median_neg,median_pos,mean_neg,mean_pos,rank_biserial,ci95_lo,ci95_hi,abs_effect,above_threshold,mannwhitney_u,p_value,n_bootstrap
exp_n_counters,135493,7566,127927,2.0,2.0,1.6625184675635323,2.322363203806503,0.41476,0.40339,0.42572,0.41476,True,684669596.5,0.0,1000
exp_n_invoices,135493,7566,127927,29.0,41.0,32.234235149733834,46.6704996034893,0.32462,0.31398,0.335,0.32462,True,641047143.0,0.0,1000
exp_cons_total_max,135493,7566,127927,1280.0,2016.0,2259.925160443065,3557.496960084589,0.32268,0.31101,0.33401,0.32268,True,640107767.0,0.0,1000
exp_span_days,135493,7566,127927,3283.0,4727.0,2965.8682217202,3993.599524187153,0.30673,0.2965,0.318,0.30673,True,632389760.0,0.0,1000
exp_new_index_max,135493,7566,127927,18218.0,28463.0,27767.447614655233,41666.482289188476,0.30525,0.29472,0.31637,0.30525,True,631674570.5,0.0,1000
exp_cons2_mean,135493,7566,127927,3.808219178082192,32.40079365079365,113.56983751107994,145.18320444258347,0.26803,0.25657,0.28024,0.26803,True,613660072.0,0.0,1000
exp_cons_total_std,131281,7528,123753,320.0546242440499,452.54251955469397,560.6424808152035,798.6668609175508,0.26462,0.25231,0.27679,0.26462,True,589067732.5,0.0,1000
exp_n_counter_codes,135493,7566,127927,1.0,2.0,1.5203358165203593,1.8686227861485594,0.26364,0.25227,0.275,0.26364,True,611534467.0,0.0,1000
exp_antiguedad_dias,135493,7566,127927,4008.0,6285.0,5138.862390269451,6869.594898228919,0.25987,0.24829,0.27157,0.25987,True,609709776.0,0.0,1000
exp_cons3_mean,135493,7566,127927,0.0,1.260428626100268,26.44768380966092,47.6981705934886,0.25539,0.24404,0.26734,0.25539,True,607545388.0,0.0,1000
exp_gap_max_days,130422,7519,122903,362.0,368.0,399.20802584151727,456.2917941215587,0.19226,0.18085,0.20459,0.19226,True,550886330.0,6.712333598642107e-173,1000
exp_cons4_mean,135493,7566,127927,0.0,0.0,70.11216851210551,123.5909177763626,0.1804,0.17005,0.19088,0.1804,True,571252243.5,0.0,1000
exp_n_tarif_types,135493,7566,127927,1.0,2.0,1.5007856042899466,1.7064499074808352,0.1748,0.16389,0.18715,0.1748,True,568541975.0,2.2023761750478408e-187,1000
exp_cv_cons,128945,7514,121431,0.8859333064941048,1.0038367694684363,0.9831624073870847,1.084071292178712,0.16983,0.15867,0.1805,0.16983,True,533693847.5,3.6358309598057375e-135,1000
exp_cons_total_mean,135493,7566,127927,392.8666666666667,465.83619374523266,641.4160349034069,767.1095614053725,0.15897,0.14622,0.17221,0.15897,True,560879907.0,8.585364698986873e-120,1000
exp_creation_year,135493,7566,127927,2005.0,2002.0,2002.3300788731074,1999.7060533967751,-0.1473,-0.15931,-0.13542,0.1473,True,412660728.5,3.178339948249174e-103,1000
exp_n_counter_types,135493,7566,127927,1.0,2.0,1.4450585099314452,1.5869680148030663,0.14191,0.13134,0.15284,0.14191,True,552624639.5,2.830029312042333e-128,1000
exp_days_since_last,135493,7566,127927,214.0,204.0,1082.8014492640334,311.13454929949773,-0.14081,-0.15195,-0.12899,0.14081,True,415801272.0,2.042731296288138e-94,1000
exp_counters_por_factura,135493,7566,127927,0.05714285714285714,0.05172413793103448,0.1429449885764943,0.07443198009656811,-0.10184,-0.11155,-0.09226,0.10184,True,434660657.5,2.7383494641256507e-50,1000
exp_share_statue_nonzero,135493,7566,127927,0.0,0.0,0.03453381088193744,0.02804339707306302,0.10065,0.08992,0.11182,0.10065,True,532656036.0,3.765606440099251e-70,1000
exp_share_cons_cero,135493,7566,127927,0.017241379310344827,0.038461538461538464,0.12824873993455832,0.1067547603385798,0.09596,0.08565,0.10738,0.09596,False,530389055.5,1.311289388453915e-49,1000
exp_cons_total_median,135493,7566,127927,303.0,309.5,505.71609980692114,527.904771345493,0.06185,0.04875,0.07476,0.06185,False,513879897.0,1.3572952846839171e-19,1000
exp_delta_index_median,135493,7566,127927,302.0,308.0,518.7358610770204,545.0759318001586,0.06138,0.04807,0.07421,0.06138,False,513651056.5,2.5526997298153924e-19,1000
exp_gap_median_days,130422,7519,122903,121.5,121.0,131.14557822022246,122.45278627477059,-0.04825,-0.06185,-0.03527,0.04825,False,439760261.0,1.8460787663297794e-12,1000
exp_invoices_per_year,130246,7518,122728,3.640365448504983,4.155627793579845,4.476777563463982,4.367765406259369,0.04133,0.02808,0.05493,0.04133,False,480399286.5,1.6972737971995946e-09,1000
exp_share_levels_mismatch,135493,7566,127927,0.0,0.0,0.0036340279044074827,0.004075687438666908,0.03239,0.02607,0.03926,0.03239,False,499623673.5,2.8449127665954706e-31,1000
exp_cons1_median,135493,7566,127927,274.0,261.5,364.3511651176061,351.2215833994185,0.02768,0.01509,0.0404,0.02768,False,497344581.5,5.045289885556278e-05,1000
exp_share_logical_duplicate,135493,7566,127927,0.0,0.0,0.0038238198445366984,0.006299379979623742,0.01902,0.01466,0.02315,0.01902,False,493154408.5,3.235443432371258e-37,1000
exp_share_months_number_invalid,135493,7566,127927,0.0,0.0,0.013604408943589786,0.00953688414154899,0.01529,0.00828,0.02267,0.01529,False,491347768.5,3.851522937651098e-05,1000
exp_share_index_regression,135493,7566,127927,0.0,0.0,0.0005234702642758193,0.0010740405870089062,0.0146,0.01091,0.01824,0.0146,False,491014374.0,7.204342179898621e-27,1000
exp_months_number_mean,135493,7566,127927,4.2,4.20722186076773,32.42617749904631,42.96371942725952,0.00161,-0.01043,0.01485,0.00161,False,484725087.5,0.8138870785880368,1000
exp_share_coef_gt1,135493,7566,127927,0.0,0.0,0.0002882232085132288,3.3784967333594836e-06,-0.00013,-0.00044,0.00029,0.00013,False,483886572.0,0.5848581470178476,1000
exp_share_counter_statue_invalid,135493,7566,127927,0.0,0.0,2.2116073374794203e-05,0.0,-5e-05,-9e-05,-2e-05,5e-05,False,483925143.0,0.5513770033809255,1000
exp_share_reading_remarque_invalid,135493,7566,127927,0.0,0.0,2.0198706291473836e-05,0.0,-4e-05,-8e-05,-1e-05,4e-05,False,483928926.0,0.5865853219974058,1000
