,valor
prevalencia_pct,5.58
n_pos,7566
n_cli,135493
exactitud_trivial_pct,94.42
razon_neg_pos,16.9
mejor_var,exp_n_counters
mejor_rb,0.415
mejor_auc_pct,70.7
n_sobre_umbral,20
n_agregados,34
sd_group,0.0873
sd_strat,0.1673
sd_esperada,0.1395
pos_min,1486
pos_max,1549
error_rel_pct,2.5
k5000_azar,279.2
k5000_recall_techo,66.09
k5000_pct_base,3.69
razon_deciles,15.2
tasa_decil1,0.642
tasa_decil10,9.756
cli_1_factura,4212
cli_3_o_menos,15269
catg51_tasa,16.8653
catg51_n,1678
region_min,0.57
region_max,10.3
cramers_max,0.082
max_share_diff,0.22
sesgo_max,526.0
pre2005_pct,0.49
n_regiones_pocas,2
rr_max_bandera,2.16
rr_index_regression,2.06
rr_lo_logical_dup,1.92
rr_hi_logical_dup,2.42
rb_share_logical_dup,0.019
rb_share_index_reg,0.015
rr_dup_q1,2.31
rr_dup_q5,1.26
