table,column,dtype,n_missing,n_unique,is_constant
client_train,disrict,int64,0,4,False
client_train,client_id,string,0,135493,False
client_train,client_catg,int64,0,3,False
client_train,region,int64,0,25,False
client_train,creation_date,datetime64[ns],0,8088,False
client_train,target,float64,0,2,False
client_test,disrict,int64,0,4,False
client_test,client_id,string,0,58069,False
client_test,client_catg,int64,0,3,False
client_test,region,int64,0,24,False
client_test,creation_date,datetime64[ns],0,7388,False
invoice_train,client_id,string,0,135493,False
invoice_train,invoice_date,datetime64[ns],0,8275,False
invoice_train,tarif_type,int64,0,17,False
invoice_train,counter_number,int64,0,201893,False
invoice_train,counter_statue,string,0,12,False
invoice_train,counter_code,int64,0,42,False
invoice_train,reading_remarque,int64,0,8,False
invoice_train,counter_coefficient,int64,0,16,False
invoice_train,consommation_level_1,int64,0,8295,False
invoice_train,consommation_level_2,int64,0,12576,False
invoice_train,consommation_level_3,int64,0,2253,False
invoice_train,consommation_level_4,int64,0,12075,False
invoice_train,old_index,int64,0,155648,False
invoice_train,new_index,int64,0,157980,False
invoice_train,months_number,int64,0,1370,False
invoice_train,counter_type,string,0,2,False
invoice_test,client_id,string,0,58069,False
invoice_test,invoice_date,datetime64[ns],0,6934,False
invoice_test,tarif_type,int64,0,16,False
invoice_test,counter_number,int64,0,91966,False
invoice_test,counter_statue,string,0,6,False
invoice_test,counter_code,int64,0,39,False
invoice_test,reading_remarque,int64,0,4,False
invoice_test,counter_coefficient,int64,0,7,False
invoice_test,consommation_level_1,int64,0,6546,False
invoice_test,consommation_level_2,int64,0,9700,False
invoice_test,consommation_level_3,int64,0,1862,False
invoice_test,consommation_level_4,int64,0,8838,False
invoice_test,old_index,int64,0,116512,False
invoice_test,new_index,int64,0,118365,False
invoice_test,months_number,int64,0,914,False
invoice_test,counter_type,string,0,2,False
