table,column_real,dtype_real,readme_name,readme_documenta_significado,nombre_coincide_ignorando_mayusculas
client_train,disrict,int64,District,True,False
client_train,client_id,string,Client_id,True,True
client_train,client_catg,int64,Client_catg,True,True
client_train,region,int64,Region,True,True
client_train,creation_date,datetime64[ns],Creation_date,True,True
client_train,target,float64,Target,True,True
client_test,disrict,int64,District,True,False
client_test,client_id,string,Client_id,True,True
client_test,client_catg,int64,Client_catg,True,True
client_test,region,int64,Region,True,True
client_test,creation_date,datetime64[ns],Creation_date,True,True
invoice_train,client_id,string,Client_id,True,True
invoice_train,invoice_date,datetime64[ns],Invoice_date,True,True
invoice_train,tarif_type,int64,Tarif_type,True,True
invoice_train,counter_number,int64,Counter_number,False,True
invoice_train,counter_statue,string,Counter_statue,True,True
invoice_train,counter_code,int64,Counter_code,False,True
invoice_train,reading_remarque,int64,Reading_remarque,True,True
invoice_train,counter_coefficient,int64,Counter_coefficient,True,True
invoice_train,consommation_level_1,int64,Consommation_level_1,True,True
invoice_train,consommation_level_2,int64,Consommation_level_2,True,True
invoice_train,consommation_level_3,int64,Consommation_level_3,True,True
invoice_train,consommation_level_4,int64,Consommation_level_4,True,True
invoice_train,old_index,int64,Old_index,True,True
invoice_train,new_index,int64,New_index,True,True
invoice_train,months_number,int64,Months_number,True,True
invoice_train,counter_type,string,Counter_type,True,True
invoice_test,client_id,string,Client_id,True,True
invoice_test,invoice_date,datetime64[ns],Invoice_date,True,True
invoice_test,tarif_type,int64,Tarif_type,True,True
invoice_test,counter_number,int64,Counter_number,False,True
invoice_test,counter_statue,string,Counter_statue,True,True
invoice_test,counter_code,int64,Counter_code,False,True
invoice_test,reading_remarque,int64,Reading_remarque,True,True
invoice_test,counter_coefficient,int64,Counter_coefficient,True,True
invoice_test,consommation_level_1,int64,Consommation_level_1,True,True
invoice_test,consommation_level_2,int64,Consommation_level_2,True,True
invoice_test,consommation_level_3,int64,Consommation_level_3,True,True
invoice_test,consommation_level_4,int64,Consommation_level_4,True,True
invoice_test,old_index,int64,Old_index,True,True
invoice_test,new_index,int64,New_index,True,True
invoice_test,months_number,int64,Months_number,True,True
invoice_test,counter_type,string,Counter_type,True,True
