anio,1,2,3,4,5,6,7,8,9,10,11,12
2005,2521,1564,685,1367,2292,2159,4265,6194,9057,13110,11939,9510
2006,19808,17488,18280,19281,22208,19809,16598,19039,19396,14890,18995,15977
2007,20635,21240,18402,21851,25808,20376,17031,20660,21446,19877,20229,18634
2008,23662,22821,20939,25396,25006,20573,21194,20614,17221,23999,22409,19381
2009,24001,27594,24535,24487,26761,23885,24772,22185,22034,24954,18396,20771
2010,27359,28795,26389,27747,28814,25563,26519,24146,26652,24052,21837,28353
2011,16222,25440,27363,28400,26055,31595,27297,21438,28720,28142,26302,23427
2012,25670,30621,29494,29259,31383,27914,25491,22782,26072,21916,23597,27915
2013,25455,31075,30463,33625,34868,23596,24996,25704,25210,23636,30051,27264
2014,30122,33413,28947,33289,32995,25322,24247,25584,27121,29263,28173,24897
2015,32811,34737,34694,35355,26421,30735,27653,28067,29667,28314,28868,23437
2016,37333,34504,32041,33978,35787,29179,28875,31644,31657,28131,35683,24842
2017,32190,38640,42080,35129,37967,32390,33691,31742,30673,34184,34880,27366
2018,31232,35326,36241,30920,35076,27088,28428,24022,11381,21772,25243,28921
2019,29274,32460,29629,27345,25072,24929,22102,27122,8309,10103,11427,7591
