table,column,n_unique_original,rare_grouped,value,n,pct
invoice_train,tarif_type,17,True,11,2679864,59.862
invoice_train,tarif_type,17,True,40,1379752,30.8205
invoice_train,tarif_type,17,True,10,276210,6.1699
invoice_train,tarif_type,17,True,15,72422,1.6177
invoice_train,tarif_type,17,True,45,17552,0.3921
invoice_train,tarif_type,17,True,13,11656,0.2604
invoice_train,tarif_type,17,True,14,11611,0.2594
invoice_train,tarif_type,17,True,12,11345,0.2534
invoice_train,tarif_type,17,True,29,10090,0.2254
invoice_train,tarif_type,17,True,9,6039,0.1349
invoice_train,tarif_type,17,True,21,104,0.0023
invoice_train,tarif_type,17,True,otras,50,0.0011
invoice_train,tarif_type,17,True,8,43,0.001
invoice_train,counter_statue,12,False,0,4379008,97.8169
invoice_train,counter_statue,12,False,1,74036,1.6538
invoice_train,counter_statue,12,False,5,20628,0.4608
invoice_train,counter_statue,12,False,4,2729,0.061
invoice_train,counter_statue,12,False,3,258,0.0058
invoice_train,counter_statue,12,False,2,32,0.0007
invoice_train,counter_statue,12,False,46,14,0.0003
invoice_train,counter_statue,12,False,A,13,0.0003
invoice_train,counter_statue,12,False,618,12,0.0003
invoice_train,counter_statue,12,False,769,6,0.0001
invoice_train,counter_statue,12,False,269375,1,0.0
invoice_train,counter_statue,12,False,420,1,0.0
invoice_train,counter_code,42,True,203,1516834,33.8826
invoice_train,counter_code,42,True,5,1352032,30.2013
invoice_train,counter_code,42,True,207,555627,12.4114
invoice_train,counter_code,42,True,413,378915,8.4641
invoice_train,counter_code,42,True,202,343251,7.6674
invoice_train,counter_code,42,True,420,98270,2.1951
invoice_train,counter_code,42,True,410,69080,1.5431
invoice_train,counter_code,42,True,otras,54786,1.2238
invoice_train,counter_code,42,True,433,34447,0.7695
invoice_train,counter_code,42,True,10,27744,0.6197
invoice_train,counter_code,42,True,442,17050,0.3809
invoice_train,counter_code,42,True,25,14934,0.3336
invoice_train,counter_code,42,True,407,13768,0.3075
invoice_train,reading_remarque,8,False,6,2230928,49.8338
invoice_train,reading_remarque,8,False,9,1416992,31.6523
invoice_train,reading_remarque,8,False,8,828123,18.4984
invoice_train,reading_remarque,8,False,7,661,0.0148
invoice_train,reading_remarque,8,False,203,15,0.0003
invoice_train,reading_remarque,8,False,413,12,0.0003
invoice_train,reading_remarque,8,False,207,6,0.0001
invoice_train,reading_remarque,8,False,5,1,0.0
invoice_train,counter_coefficient,16,True,1,4475091,99.9632
invoice_train,counter_coefficient,16,True,2,886,0.0198
invoice_train,counter_coefficient,16,True,3,321,0.0072
invoice_train,counter_coefficient,16,True,40,197,0.0044
invoice_train,counter_coefficient,16,True,30,137,0.0031
invoice_train,counter_coefficient,16,True,0,46,0.001
invoice_train,counter_coefficient,16,True,6,30,0.0007
invoice_train,counter_coefficient,16,True,4,12,0.0003
invoice_train,counter_coefficient,16,True,10,6,0.0001
invoice_train,counter_coefficient,16,True,otras,4,0.0001
invoice_train,counter_coefficient,16,True,20,3,0.0001
invoice_train,counter_coefficient,16,True,9,3,0.0001
invoice_train,counter_coefficient,16,True,50,2,0.0
invoice_train,counter_type,2,False,ELEC,3079398,68.7866
invoice_train,counter_type,2,False,GAZ,1397340,31.2134
